localTime,remoteTime,label,eda,eda_filtered
1620713838767,174784,,0,-513.87
1620713838767,175005,,0,-514.13
1620713839274,175227,,0,-514.13
1620713839274,175448,,0,-514.19
1620713839274,175669,,0,-514.19
1620713839774,175891,,0,-514.06
1620713839774,176112,,0,-514.19
1620713840278,176333,,0,-513.87
1620713840278,176554,,0,-514.13
1620713820666,156650,,0,-514.13
1620713820666,156871,,0,-514.25
1620713821174,157092,,0,-514.25
1620713821174,157313,,0,-514.25
1620713821174,157534,,0,-514.25
1620713821678,157754,,0,-514
1620713821678,157975,,0,-514.25
1620713822167,158196,,0,-513.94
1620713822167,158417,,0,-514.19
1620713822677,158639,,0,-514.25
1620713822677,158860,,0,-514.25
1620713822677,159082,,0,-514.25
1620713823183,159304,,0,-514.13
1620713823183,159525,,0,-513.75
1620713823681,159747,,0,-513.87
1620713823681,159968,,0,-514.19
1620713824191,160189,,0,-514.06
1620713824191,160410,,0,-514.25
1620713824696,160631,,0,-514.25
1620713824696,160852,,0,-514.19
1620713824696,161073,,0,-514.19
1620713825187,161293,,0,-514
1620713825187,161514,,0,-514.19
1620713825693,161736,,0,-513.94
1620713825693,161957,,0,-514.25
1620713826199,162179,,0,-514.13
1620713826199,162400,,0,-513.87
1620713826707,162622,,0,-514.19
1620713826707,162842,,0,-514.19
1620713826707,163063,,0,-514.19
1620713827194,163283,,0,-513.94
1620713827194,163504,,0,-514.19
1620713827700,163725,,0,-513.94
1620713827700,163946,,0,-514.19
1620713828206,164168,,0,-514.19
1620713828206,164389,,0,-514.19
1620713828206,164610,,0,-514.25
1620713828705,164832,,0,-514.13
1620713828705,165053,,0,-514.19
1620713829226,165274,,0,-513.87
1620713829226,165495,,0,-514.19
1620713829711,165717,,0,-514
1620713829711,165938,,0,-514.19
1620713830216,166160,,0,-514.19
1620713830216,166381,,0,-514.25
1620713830216,166602,,0,-514.19
1620713830716,166824,,0,-514
1620713830716,167045,,0,-514.25
1620713831220,167267,,0,-513.94
1620713831220,167488,,0,-513.87
1620713831723,167710,,0,-513.75
1620713831723,167931,,0,-514.19
1620713832229,168152,,0,-514.19
1620713832229,168373,,0,-514.19
1620713832229,168594,,0,-514.19
1620713832764,168814,,0,-513.56
1620713832764,169035,,0,-514.25
1620713833230,169256,,0,-513.87
1620713833230,169477,,0,-514.19
1620713833733,169698,,0,-514.19
1620713833733,169919,,0,-514.19
1620713833733,170140,,0,-514.19
1620713834235,170361,,0,-514.06
1620713834235,170582,,0,-514.13
1620713834752,170803,,0,-513.87
1620713834752,171024,,0,-514.19
1620713835241,171245,,0,-514
1620713835241,171467,,0,-514.19
1620713835741,171689,,0,-514.19
1620713835741,171910,,0,-514.19
1620713835741,172131,,0,-514.13
1620713836248,172353,,0,-514
1620713836248,172574,,0,-514.19
1620713836749,172795,,0,-513.81
1620713836749,173016,,0,-514.19
1620713837254,173238,,0,-514.06
1620713837254,173459,,0,-514.13
1620713837756,173679,,0,-513.69
1620713837756,173900,,0,-513.94
1620713837756,174121,,0,-514.19
1620713838253,174341,,0,-513.94
1620713838253,174562,,0,-514.19
1620713838767,174784,,0,-513.87
1620713838767,175005,,0,-514.13
1620713839274,175227,,0,-514.13
1620713839274,175448,,0,-514.19
1620713839274,175669,,0,-514.19
1620713839774,175891,,0,-514.06
1620713839774,176112,,0,-514.19
1620713840278,176333,,0,-513.87
1620713840278,176554,,0,-514.13
